Name	Sample	POST_SURG	coef_meaning	coef	pval
Age	D	POST_SURG	age	0.54828388469096	5.62039285094537e-158
Age_POST	D	POST	age	0.52861720901023	9.99779946770217e-73
Age_SURG	D	SURG	age	0.571672318965533	2.4541953926852e-87
Age_meno	D	POST_SURG	age_menopause	-0.00188931227322806	0.92110009220762
Age_meno_POST	D	POST	age_menopause	-0.001113790422714	0.966301154533817
Age_meno_SURG	D	SURG	age_menopause	-0.00343840357186295	0.900407882681776
Age_meno_groupInter	D	POST_SURG	age_menopause_by_group	-0.0028863583252224	0.945267696544543
HRT_covGroup	D	POST_SURG	HRT	0.0188562011406515	0.646637514295942
HRT_inPOST	D	POST	HRT	-0.00347024684711452	0.949920604871872
HRT_inSURG	D	SURG	HRT	0.0432678028852653	0.485874077259856
HRT_groupInter	D	POST_SURG	HRT_by_group	0.0647876627319644	0.413102959958794
HRT_ageMenoInter_POST	D	POST	HRT_by_age_menopause	0.00782261279991778	0.489335481453755
HRT_ageMenoInter_SURG	D	SURG	HRT_by_age_menopause	0.00785231127575962	0.29884370987338
Meno_group	D	POST_SURG	Meno_group	0.0551377462200014	0.157074662161326
