Name	Sample	POST_SURG	coef_meaning	coef	pval
Age	D	POST_SURG	age	0.561824591503794	1.34120757839564e-139
Age_POST	D	POST	age	0.543866512159292	2.37491294766449e-65
Age_SURG	D	SURG	age	0.585581134869406	3.77563321248971e-76
Age_meno	D	POST_SURG	age_menopause	-0.00103312214936915	0.960368235211413
Age_meno_POST	D	POST	age_menopause	-0.00379166053815269	0.89483302853317
Age_meno_SURG	D	SURG	age_menopause	0.00714149115310747	0.801999302163515
Age_meno_groupInter	D	POST_SURG	age_menopause_by_group	0.0145605897073457	0.736969189225929
MHT_covGroup	D	POST_SURG	MHT	0.0314413599532886	0.490633274106044
MHT_inPOST	D	POST	MHT	0.0333668278818533	0.579523520673861
MHT_inSURG	D	SURG	MHT	0.0204211715116984	0.772657826839568
MHT_groupInter	D	POST_SURG	MHT_by_group	-0.00409141824819462	0.963511540474183
MHT_ageMenoInter_POST	D	POST	MHT_by_age_menopause	0.0141286831865502	0.227421739206381
MHT_ageMenoInter_SURG	D	SURG	MHT_by_age_menopause	-0.00274592008810176	0.805627824558774
Meno_group	D	POST_SURG	Meno_group	0.0463867398539158	0.288558325854747
